epoch,train_loss,train_acc,val_loss,val_acc
1,4.274256591796875,0.0511,3.9743387013578566,0.0903
2,3.9767216796875,0.0856,3.7963867217968827,0.1131
2,3.9735947265625,0.086425,3.7787048268242005,0.1185
126,1.8480073481559753,0.490475,1.5219768232430895,0.589
3,3.8288468017578126,0.109025,3.6573645108804915,0.1366
3,3.8009433471679688,0.113825,3.625757012504358,0.1441
127,1.8431406611442567,0.490825,1.5095749647853474,0.5885
4,3.7031836853027342,0.13255,3.5293713766165054,0.1548
4,3.6824383056640624,0.135225,3.468840043765668,0.1683
128,1.831783292579651,0.4926,1.5079789980531881,0.5875
5,3.6130363891601562,0.14865,3.402491277780015,0.184
5,3.593482684326172,0.151325,3.382194231874265,0.1835
129,1.817907613182068,0.493925,1.5033210365536114,0.5955
6,3.5393140716552733,0.159225,3.3470300386508054,0.1899
6,3.521417840576172,0.161,3.3459881479366897,0.1898
130,1.8156957573890686,0.49465,1.4802656535523386,0.5957
7,3.4798500732421873,0.16715,3.2566903330647525,0.2082
7,3.459641746520996,0.17035,3.2615946557956,0.1998
131,1.8043278668403626,0.497975,1.5302680582284165,0.5874
8,3.4266135406494143,0.17795,3.254714677889888,0.2015
8,3.409633628845215,0.182525,3.237765252018889,0.2069
132,1.8025367580890657,0.5002,1.5094102893393642,0.5897
9,3.3869407135009766,0.1851,3.175787658356249,0.2199
9,3.3723845138549806,0.187775,3.192870483611719,0.2148
10,3.3416013244628906,0.19185,3.145142028126092,0.2254
133,1.79022481174469,0.499525,1.4828843649583883,0.5943
10,3.32598936920166,0.1941,3.14288879583438,0.2256
11,3.3102520599365235,0.19945,3.083732243163136,0.2398
134,1.789961982345581,0.5015,1.469705660122271,0.5958
11,3.302811033630371,0.200375,3.1290829608234736,0.234
12,3.2777359008789064,0.20605,3.051753031940887,0.2461
135,1.7759503606796265,0.505675,1.479463821211562,0.602
12,3.268434075164795,0.2066,3.074210639959707,0.2405
13,3.255096060180664,0.2089,3.0304724796892355,0.2453
136,1.7674693848609924,0.504375,1.469850644707299,0.5973
13,3.24374725189209,0.20915,3.0673915303934116,0.244
14,3.2322318962097167,0.212175,3.015287161635134,0.2507
137,1.7741900656700134,0.504925,1.4154981344271773,0.6099
14,3.212235809326172,0.2142,3.0214000616591576,0.2515
15,3.2065404342651367,0.2148,2.9766123789948775,0.2574
138,1.762839621448517,0.509175,1.442330360793458,0.6094
15,3.1883044952392576,0.219325,3.024649408297798,0.2535
16,3.1771703392028807,0.225425,2.960350723693165,0.2594
139,1.7464407405376434,0.5114,1.4197829182917319,0.617
16,3.1660505661010743,0.2257,2.9796153257449216,0.2627
17,3.153668879699707,0.226475,2.956621406939083,0.2611
140,1.7420809887886048,0.51195,1.4358535268055364,0.6123
17,3.1380222087860106,0.231275,2.953386340278406,0.2693
18,3.1305854331970213,0.2324,2.942209639869178,0.261
141,1.7351546606063843,0.514025,1.4139911416239632,0.6158
18,3.1226498334884645,0.23225,2.9300893229036666,0.2688
19,3.1146837326049805,0.234425,2.9241401981621884,0.2631
142,1.7321226392745972,0.51365,1.4117066824017241,0.6197
19,3.098487696838379,0.239175,2.9146278750020476,0.2731
20,3.0886303382873534,0.240875,2.8858323820863667,0.2752
143,1.719205352973938,0.518225,1.3923652634833947,0.6185
20,3.0726853744506837,0.24315,2.901515946220666,0.2709
21,3.0711636352539062,0.2413,2.862220139549182,0.2795
21,3.0569768524169922,0.247275,2.8719478857022125,0.2774
144,1.7147864137649536,0.519025,1.3960005134439315,0.6216
22,3.0513240055084228,0.247,2.819903849793699,0.2868
22,3.0373398262023925,0.244525,2.824993480889561,0.2873
145,1.7107544250011444,0.5197,1.3911560650069874,0.6211
23,3.0308136276245117,0.24945,2.8271527762611073,0.2877
23,3.0175806552886963,0.253525,2.826608840649882,0.2934
146,1.6975079014778138,0.519325,1.4102238435714771,0.6182
24,3.0064540782928466,0.25665,2.783362705486651,0.298
24,2.9919228284835815,0.26045,2.7892275100318007,0.297
147,1.691379787158966,0.523275,1.380548611616555,0.6221
25,2.9818364768981933,0.2609,2.7745824400990156,0.303
25,2.9748743307113648,0.260625,2.7753532549824578,0.3017
148,1.6845819826126098,0.52615,1.3680881583652558,0.6296
26,2.9759837308883665,0.259525,2.779681115866469,0.2974
26,2.963388407325745,0.26165,2.77611972805791,0.2991
149,1.6790219764709473,0.526675,1.3490307656720804,0.6364
27,2.9485213052749635,0.269025,2.7456629268658426,0.3057
27,2.935480303764343,0.26645,2.7417094524676044,0.3041
28,2.9320274114608766,0.269025,2.7276707472511754,0.3007
150,1.6818678479671478,0.527225,1.3656130440699787,0.6293
28,2.916633097457886,0.274825,2.724622741674844,0.3032
29,2.9131310583114622,0.2734,2.683244662543836,0.3141
151,1.6712100997447967,0.527,1.371382669709361,0.6282
29,2.9036365255355836,0.2769,2.682388420683888,0.3158
30,2.8967058048248293,0.276625,2.6921861240277276,0.3145
152,1.6559085071563722,0.534125,1.353378609822581,0.6337
30,2.8860455032348633,0.27635,2.6683465562308557,0.3211
31,2.8861768905639646,0.277975,2.6820919068095783,0.3129
153,1.665262625837326,0.5282,1.3709936242895766,0.6274
31,2.8688959186553955,0.2834,2.6641384610733665,0.3197
32,2.8676072429656982,0.281225,2.6233609918588265,0.3276
154,1.6657809921264648,0.5288,1.3249531216895618,0.642
32,2.8533491422653197,0.2849,2.6212389770026405,0.3297
33,2.8530449010848997,0.28535,2.6303111608036027,0.3242
155,1.6612334433078766,0.533,1.3305767559395811,0.6407
33,2.836945321846008,0.28665,2.633259869231203,0.3251
34,2.838152541732788,0.288475,2.6223600721968627,0.33
156,1.6463355894088745,0.531925,1.3528376555861756,0.6335
34,2.8239642400741576,0.291625,2.620809232084134,0.3276
35,2.821321870803833,0.2892,2.5818813795479723,0.3356
157,1.6442353491306305,0.535775,1.3490385567418302,0.6307
35,2.8062089792251586,0.293425,2.563191065392174,0.3427
36,2.810123014450073,0.2921,2.5530752019760325,0.3427
158,1.642891954946518,0.5346,1.3167894425483557,0.6429
36,2.7937187576293945,0.29735,2.536033241131816,0.3517
37,2.7900651947021484,0.2966,2.535911449228232,0.346
159,1.632075869846344,0.537575,1.310521441336257,0.6475
37,2.7730040739059447,0.299425,2.513719800943003,0.3548
38,2.771272385406494,0.30045,2.5540257738040277,0.344
160,1.6177199344158173,0.54155,1.3317143675237417,0.643
38,2.761960949897766,0.302875,2.531667427513927,0.3438
39,2.7596502056121825,0.30395,2.5036611949292995,0.352
161,1.6170392912387848,0.54075,1.3481698396106878,0.6364
39,2.7483102281570435,0.306225,2.4851052822015536,0.3536
40,2.7564344827651976,0.302675,2.4892915197835563,0.3544
40,2.7339491188049316,0.305875,2.471493510011667,0.3586
162,1.610395036840439,0.5426,1.3122989821929139,0.6464
41,2.7321042543411256,0.305375,2.5094975012179,0.3483
41,2.7188091815948487,0.30855,2.4732914568898017,0.3583
163,1.6074054216861724,0.54415,1.3074060266200727,0.6448
42,2.720476864814758,0.308125,2.455484200971195,0.363
42,2.700269193649292,0.3142,2.4252580945103315,0.3694
164,1.6060501489162444,0.5423,1.2889346467039455,0.646
43,2.698736754798889,0.3165,2.459761120259952,0.3645
43,2.6833217348098755,0.31925,2.425634638189127,0.371
165,1.5927102212905884,0.547275,1.2712038705905024,0.6568
44,2.695402339363098,0.31445,2.458621778808082,0.364
44,2.6775030979156496,0.319375,2.4460953851096545,0.3676
45,2.6761275924682617,0.3184,2.436774766864106,0.3684
166,1.5811066589832306,0.54915,1.3029287373676848,0.6515
45,2.6599718505859373,0.32175,2.4262247923464058,0.3678
46,2.66095659866333,0.3229,2.40018890117304,0.3769
167,1.5708152272224427,0.5507,1.2768284337589155,0.6552
46,2.6450307846069334,0.3225,2.4068378785166877,0.3714
47,2.6576670711517334,0.3251,2.430749465101443,0.366
168,1.564611781692505,0.550925,1.2648793488455277,0.662
47,2.6424755069732666,0.328175,2.4093376756095277,0.3715
48,2.644961881828308,0.326025,2.389712228942603,0.3757
169,1.5714582608699799,0.55155,1.2561755776405334,0.6601
48,2.626512072277069,0.328375,2.3597948810163016,0.3861
49,2.635038230037689,0.32645,2.3791099322108797,0.3833
170,1.5524473079681396,0.557775,1.2581971491487642,0.6614
49,2.621373692893982,0.33175,2.330879932775284,0.3919
50,2.617641495513916,0.330475,2.362827868126452,0.3832
171,1.5523940674304961,0.55135,1.2658102963679134,0.661
50,2.6018223073959352,0.3323,2.3189827618888392,0.3965
51,2.6091173234939573,0.332275,2.3198426843832096,0.3904
172,1.548447312259674,0.554825,1.2856326316492246,0.6496
51,2.597220786190033,0.333225,2.3024051452216248,0.3939
52,2.6014315965652464,0.33355,2.326273993943065,0.3911
173,1.5358779447078705,0.556775,1.2254304956323423,0.6716
52,2.578339352416992,0.337375,2.295294666061767,0.3979
53,2.5757015723228456,0.3392,2.3158423767303127,0.3943
174,1.5344858165740967,0.5595,1.2383320250640661,0.6635
53,2.564628436756134,0.34125,2.3032355853163016,0.3947
54,2.5780106325149537,0.34075,2.2930463956186946,0.3995
175,1.527299024438858,0.56295,1.2265082254006079,0.673
54,2.5618494194984436,0.3428,2.2558212375488527,0.403
55,2.5624044344902037,0.34285,2.280966581247104,0.4031
176,1.5277816231727601,0.5609,1.2132054970096857,0.6714
55,2.537630951881409,0.34505,2.256427064871255,0.4078
56,2.54739494638443,0.34205,2.328940561023383,0.3861
56,2.5312049518585207,0.34685,2.285001361712861,0.3951
177,1.5172284857749938,0.562,1.220509544919474,0.6737
57,2.5356502435684205,0.34605,2.241547720119976,0.4126
57,2.509383003044128,0.352475,2.2415072304753068,0.4121
178,1.5072444925308228,0.5629,1.2017662906037352,0.6776
58,2.529639750289917,0.348575,2.2556783650248957,0.4038
58,2.5096123386383056,0.351325,2.2209867570346917,0.4134
179,1.4996140591621399,0.5667,1.2159226277765756,0.6744
59,2.5126285494804383,0.3493,2.270405497794715,0.4005
59,2.495866819667816,0.356225,2.2381206232899675,0.4093
180,1.480786253118515,0.57215,1.1907811559998571,0.6811
60,2.502763093185425,0.352275,2.238343792220655,0.411
60,2.4812265894889833,0.3588,2.218272111667231,0.4131
181,1.492026080226898,0.570975,1.2014232206458864,0.6763
61,2.4977510429382326,0.35575,2.2194103124423528,0.4145
61,2.4793370809555055,0.358475,2.1888987134439875,0.425
182,1.4847362200260161,0.56915,1.1995139923720315,0.6811
62,2.4899876626968385,0.355875,2.204949474563233,0.4125
62,2.4633798696517943,0.3609,2.166097143968454,0.4278
183,1.4871788963317871,0.57205,1.17144925563861,0.6854
63,2.466130742073059,0.361675,2.1990574541183325,0.4159
63,2.4469785945892335,0.3642,2.1756692241175104,0.4181
64,2.4609546407699585,0.3628,2.1907795347725623,0.4226
184,1.471123686695099,0.5763,1.1990608309214108,0.6808
64,2.4446701948165894,0.3642,2.146511556241459,0.434
65,2.4454151453018187,0.364525,2.1600916214263477,0.4263
185,1.4659508850097656,0.5735,1.1838865931422566,0.683
65,2.424315788936615,0.368075,2.111634967807002,0.4386
66,2.449926594161987,0.362875,2.1745889701020604,0.4256
186,1.4729798218727113,0.57315,1.1795120164990045,0.6815
66,2.416687084388733,0.3705,2.1396926569100767,0.431
67,2.438929831314087,0.36705,2.1259720603498025,0.4327
187,1.4610762710094451,0.5799,1.161365304130335,0.6913
67,2.416458113861084,0.371625,2.1028612973971867,0.4421
68,2.4203449440002442,0.369075,2.1328606967347117,0.4318
188,1.4531247569084167,0.57815,1.1585500507880324,0.6894
68,2.391099256324768,0.37935,2.1150222639687146,0.4379
69,2.4103415471076963,0.3729,2.111287694388685,0.4361
189,1.4550123317718506,0.576375,1.1656917009871608,0.6865
69,2.3905453304290774,0.375575,2.0821670255721947,0.4433
70,2.400682555961609,0.3733,2.1395385855683884,0.429
70,2.3787100920677187,0.378325,2.1060537050326413,0.4403
190,1.4369700504779817,0.582025,1.1262938942962561,0.7019
71,2.388798450946808,0.379275,2.088137796130805,0.4412
71,2.3668286080360414,0.382275,2.037558344225533,0.4509
191,1.4387301597595215,0.5851,1.160427623092176,0.6918
72,2.369979578304291,0.378,2.0905873539348763,0.442
72,2.3545652856826784,0.383425,2.0598058692944314,0.4459
192,1.4257200642585754,0.58515,1.110585899874806,0.6998
73,2.3690259576797486,0.377825,2.0902038435585584,0.4396
73,2.340871874809265,0.384025,2.05858481577791,0.4501
193,1.4255528994083404,0.584375,1.1014368182744463,0.7017
74,2.359794807434082,0.3838,2.0666408698779706,0.4482
74,2.340799049949646,0.383725,2.0286796744258258,0.454
194,1.425633898496628,0.58595,1.1024560119016482,0.7083
75,2.3481820720672606,0.38405,2.0384553491878816,0.4531
75,2.320199589633942,0.393375,2.02381583334158,0.4593
195,1.4137368419647216,0.588,1.1287950068807449,0.7006
76,2.3417034070968628,0.384825,2.062866454688124,0.4461
76,2.314893260860443,0.393575,2.0224308906652677,0.4599
77,2.3297896052360536,0.38995,2.049108239027639,0.4484
196,1.4131722784042358,0.5873,1.1292290370494793,0.7005
77,2.3048421603202818,0.39555,2.0190727204179613,0.4544
78,2.3143368027687075,0.392075,2.000185108413331,0.461
197,1.40600732588768,0.588775,1.1328463242076838,0.6974
78,2.2910472613334654,0.39635,1.9732781507717534,0.4721
79,2.308692515182495,0.391725,2.035080681593654,0.4555
198,1.3898785871982575,0.593475,1.127122463985754,0.7022
79,2.2904915152549745,0.392875,1.996634777742453,0.4608
80,2.3004035913467407,0.394325,2.030356303571512,0.4559
199,1.3937168109893798,0.5902,1.0975482748529781,0.711
80,2.2742688789367675,0.396625,1.981112305729534,0.4655
81,2.2924822348594667,0.395025,2.009618366107392,0.4656
200,1.3827252951622009,0.5968,1.0952034207959525,0.7085
81,2.265077791404724,0.40015,1.9755459841067038,0.4708
82,2.2902201930999757,0.3967,1.9845193913950325,0.4679
201,1.383687851524353,0.59715,1.095714221080652,0.7118
82,2.2511773611068726,0.40475,1.967703606754827,0.4653
83,2.2738991428375246,0.399775,1.9826586985359558,0.4677
202,1.3817178569316864,0.5927,1.1083174120313444,0.7065
83,2.243981704902649,0.406575,1.9515956209871335,0.4698
84,2.267387998867035,0.39755,1.9813815663797787,0.4649
203,1.3662498237133025,0.595675,1.1057200773645894,0.7076
